"키워드보고서(2020.04.01.~2020.06.30.),maframall01",,,,,,
광고그룹,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
0. 자사명 [ 마프라 ],마프라,"40,275","1,458",3.63,535,"780,153"
0. 자사명 [ 마프라 ],마프라몰,692,19,2.75,77,"1,463"
0. 자사명 [ 마프라 ],물왁스,"14,441",0,0,0,0
0. 자사명 [ 마프라 ],발수코팅,8,0,0,0,0
0. 자사명 [ 마프라 ],버그클리너,"25,148",35,0.14,305,"10,670"
0. 자사명 [ 마프라 ],벌레리무버,555,1,0.19,319,319
0. 자사명 [ 마프라 ],세차용품몰,653,6,0.92,469,"2,816"
0. 자사명 [ 마프라 ],세차용품쇼핑몰,906,13,1.44,927,"12,045"
0. 자사명 [ 마프라 ],송진제거,"3,977",4,0.11,275,"1,100"
0. 자사명 [ 마프라 ],알루미늄광택제,304,0,0,0,0
0. 자사명 [ 마프라 ],앞유리발수코팅,"1,005",1,0.1,176,176
0. 자사명 [ 마프라 ],유리세정제,"6,965",1,0.02,176,176
0. 자사명 [ 마프라 ],자동차물왁스,"3,766",3,0.08,187,561
0. 자사명 [ 마프라 ],자동차벌똥,"5,621",4,0.08,193,770
0. 자사명 [ 마프라 ],자동차세차용품쇼핑몰,69,0,0,0,0
0. 자사명 [ 마프라 ],차량세차용품세트,331,0,0,0,0
0. 자사명 [ 마프라 ],차량용세차용품,959,19,1.99,701,"13,310"
0. 자사명 [ 마프라 ],철분제거제,98,0,0,0,0
0. 자사명 [ 마프라 ],친수왁스,"8,994",11,0.13,77,847
0. 자사명 [ 마프라 ],친환경세척제,61,0,0,0,0
0. 자사명 [ 마프라 ],카샴푸,"2,750",3,0.11,220,660
0. 자사명 [ 마프라 ],코팅제,8,0,0,0,0
0. 자사명 [ 마프라 ],타르제거제,"1,138",0,0,0,0
0. 자사명 [ 마프라 ],타이어광택제,588,0,0,0,0
0. 자사명 [ 마프라 ],페인트클렌저,"12,280",2,0.02,308,616
0. 자사명 [ 마프라 ],페클,"10,514",5,0.05,180,902
0. 자사명 [ 마프라 ],프리워시,"10,408",9,0.09,177,"1,595"
0. 자사명 [ 마프라 ],휠세정제,510,0,0,0,0
01. 타이어세정광택제,타이어갈변제거,27,1,3.71,198,198
