"키워드보고서(2020.09.10.~2020.12.08.),osbc"
"캠페인","광고그룹","키워드","일별","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.09.10.","408","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.09.11.","104","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.09.12.","82","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.09.13.","210","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.09.14.","382","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.09.15.","163","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.16.","286","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.17.","657","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.18.","558","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.19.","256","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.20.","302","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.21.","309","1","0.33","2,123","2,123"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.22.","34","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.23.","378","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.24.","392","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.25.","99","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.26.","44","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.27.","146","1","0.69","1,573","1,573"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.28.","263","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.29.","122","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.30.","802","1","0.13","2,145","2,145"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.10.31.","9","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.01.","43","1","2.33","1,991","1,991"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.02.","37","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.03.","128","1","0.79","2,178","2,178"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.04.","794","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.05.","1","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.06.","1","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.16.","291","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LINUX","2020.11.17.","2","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.09.10.","47","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.09.11.","4","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.09.12.","4","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.09.13.","11","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.09.14.","10","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.09.15.","5","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.16.","8","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.17.","37","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.18.","37","1","2.71","407","407"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.19.","43","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.20.","33","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.21.","22","1","4.55","407","407"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.22.","1","0","0","0","0"
"파워링크2# LPIC 캠페인_키워드 최적화","파워링크2# LPIC 키워드 최적화_LPIC","LPIC","2020.10.23.","3","0","0","0","0"
