"키워드보고서(2020.01.01.~2020.03.31.),maframall01"
"광고그룹","키워드","노출수","클릭수","클릭률(%)","평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
"0. 자사명 [ 마프라 ]","마프라","9,402","65","0.7","294","19,096"
"0. 자사명 [ 마프라 ]","마프라몰","738","29","3.93","77","2,233"
"0. 자사명 [ 마프라 ]","물왁스","8,069","2","0.03","325","649"
"0. 자사명 [ 마프라 ]","발수코팅","2","0","0","0","0"
"0. 자사명 [ 마프라 ]","버그클리너","771","0","0","0","0"
"0. 자사명 [ 마프라 ]","벌레리무버","41","0","0","0","0"
"0. 자사명 [ 마프라 ]","세차용품몰","413","6","1.46","482","2,893"
"0. 자사명 [ 마프라 ]","세차용품쇼핑몰","577","12","2.08","930","11,154"
"0. 자사명 [ 마프라 ]","송진제거","574","0","0","0","0"
"0. 자사명 [ 마프라 ]","알루미늄광택제","174","0","0","0","0"
"0. 자사명 [ 마프라 ]","앞유리발수코팅","582","1","0.18","154","154"
"0. 자사명 [ 마프라 ]","유리세정제","3,417","1","0.03","220","220"
"0. 자사명 [ 마프라 ]","자동차물왁스","3,202","3","0.1","165","495"
"0. 자사명 [ 마프라 ]","자동차벌똥","1,031","3","0.3","183","550"
"0. 자사명 [ 마프라 ]","자동차세차용품쇼핑몰","44","0","0","0","0"
"0. 자사명 [ 마프라 ]","차량세차용품세트","155","0","0","0","0"
"0. 자사명 [ 마프라 ]","차량용세차용품","581","12","2.07","717","8,602"
"0. 자사명 [ 마프라 ]","철분제거제","193","0","0","0","0"
"0. 자사명 [ 마프라 ]","친수왁스","16,552","5","0.04","77","385"
"0. 자사명 [ 마프라 ]","친환경세척제","59","0","0","0","0"
"0. 자사명 [ 마프라 ]","카샴푸","225","0","0","0","0"
"0. 자사명 [ 마프라 ]","코팅제","7","0","0","0","0"
"0. 자사명 [ 마프라 ]","타르제거제","1,040","1","0.1","209","209"
"0. 자사명 [ 마프라 ]","타이어광택제","103","1","0.98","176","176"
"0. 자사명 [ 마프라 ]","페인트클렌저","2,036","0","0","0","0"
"0. 자사명 [ 마프라 ]","페클","2,620","1","0.04","198","198"
"0. 자사명 [ 마프라 ]","프리워시","7,177","4","0.06","201","803"
"0. 자사명 [ 마프라 ]","휠세정제","475","0","0","0","0"
"마프라 (하위)(삭제)","-","1,176","8","0.69","55","440"
"마프라 (상위)(삭제)","-","455","3","0.66","55","165"
"라보(상위)(삭제)","-","220","2","0.91","55","110"
"바이크(삭제)","-","348","6","1.73","55","330"
"세트상품(삭제)","-","4","0","0","0","0"
"외장관리(삭제)","-","788","13","1.65","1,581","20,559"
"내장관리(삭제)","-","189","5","2.65","1,005","5,027"
"탈취/방향제(삭제)","-","4","1","25","660","660"
"세차도구(삭제)","-","4","0","0","0","0"
"내장관리(삭제)","-","3,310","21","0.64","612","12,848"
"바이크(삭제)","-","20,440","60","0.3","64","3,817"
"세차도구(삭제)","-","23","1","4.35","55","55"
"세트상품(삭제)","-","90","1","1.12","55","55"
"외장관리(삭제)","-","5,652","63","1.12","1,452","91,476"
"탈취/방향제(삭제)","-","67","4","5.98","710","2,838"
"휠앤타이어 TEST(삭제)","-","3,700","64","1.73","1,744","111,617"
"패스트블랙 TEST(삭제)","-","954","15","1.58","1,717","25,762"
"유리관리세트(삭제)","-","813","3","0.37","1,250","3,751"
"유리관리세트(삭제)","-","1,390","16","1.16","1,238","19,811"
"프리머스[프리워시 카샴푸](삭제)","-","95","7","7.37","907","6,347"
"프리머스[프리워시 카샴푸](삭제)","-","232","2","0.87","1,089","2,178"
"00. 브랜드키워드_상품명","-","10,402","381","3.67","1,373","523,215"
"타이어세정광택제","-","11,891","318","2.68","1,597","507,881"
"광택코팅제","-","6,995","265","3.79","1,075","284,944"
"가죽클리너","-","17,106","110","0.65","1,186","130,427"
"세차패키지","-","15,687","231","1.48","1,531","353,661"
"스티커제거제","-","24,503","118","0.49","1,363","160,798"
"엔진룸세척","-","233","2","0.86","55","110"
"카샴푸","-","9,582","188","1.97","1,449","272,404"
"휠세정광택제","-","9","0","0","0","0"
"손소독제","-","141","0","0","0","0"
"유리코팅제","-","19,776","166","0.84","1,198","198,935"
"차량용방향제","-","276","12","4.35","705","8,459"
"유리세정제","-","5,688","135","2.38","1,417","191,334"
"00. 마프라 2","-","4,097","191","4.67","1,476","281,908"
"01. 타이어세정광택제","-","2,563","98","3.83","1,672","163,823"
"02. 광택코팅제","-","1,929","93","4.83","1,265","117,623"
"03. 가죽클리너","-","627","26","4.15","1,048","27,247"
"04. 세차패키지","-","2,356","42","1.79","1,486","62,392"
"05. 스티커제거제","-","5,095","47","0.93","1,460","68,607"
"06. 엔진룸세척","-","30","0","0","0","0"
"07. 카샴푸","-","768","19","2.48","1,077","20,460"
"09. 손소독제","-","1,159","2","0.18","1,205","2,409"
"10. 유리코팅제","-","8,972","80","0.9","1,292","103,356"
"11. 차량용방향제","-","52","4","7.7","682","2,728"
"12. 유리세정제","-","1,546","23","1.49","1,049","24,123"
"00. 마프라 2","-","2,487","108","4.35","1,434","154,913"
"01. 타이어세정광택제","-","2","0","0","0","0"
"02. 광택코팅제","-","214","14","6.55","1,113","15,576"
"03. 가죽클리너","-","75","1","1.34","1,617","1,617"
"04. 세차패키지","-","584","14","2.4","1,307","18,293"
"05. 스티커제거제","-","152","4","2.64","1,257","5,027"
"06. 엔진룸세척","-","1","0","0","0","0"
"07. 카샴푸","-","11","0","0","0","0"
"09. 손소독제","-","21","0","0","0","0"
"10. 유리코팅제","-","1,490","14","0.94","1,075","15,048"
"11. 차량용방향제","-","6","1","16.67","616","616"
"12. 유리세정제","-","177","3","1.7","1,155","3,465"
"00. 마프라 2","-","2,799","171","6.11","1,399","239,206"
"01. 타이어세정광택제","-","3,117","81","2.6","1,622","131,373"
"02. 광택코팅제","-","1,850","82","4.44","1,107","90,805"
"03. 가죽클리너","-","4,125","24","0.59","1,228","29,469"
"04. 세차패키지","-","5,128","78","1.53","1,469","114,565"
"05. 스티커제거제","-","5,860","33","0.57","1,375","45,364"
"06. 엔진룸세척","-","37","0","0","0","0"
"07. 카샴푸","-","2,443","37","1.52","1,519","56,210"
"08. 휠세정광택제","-","1","0","0","0","0"
"09. 손소독제","-","43","0","0","0","0"
"10. 유리코팅제","-","3,847","51","1.33","1,111","56,672"
"11. 차량용방향제","-","34","1","2.95","572","572"
"12. 유리세정제","-","949","15","1.59","1,380","20,702"
"브랜드검색_PC","라보코스메티카","178","57","32.03","0","0"
"브랜드검색_PC","마프라","1,933","764","39.53","0","0"
"브랜드검색_PC","마프라가죽","27","2","7.41","0","0"
"브랜드검색_PC","마프라가죽세정제","22","1","4.55","0","0"
"브랜드검색_PC","마프라몰","184","85","46.2","0","0"
"브랜드검색_PC","마프라에네르고","50","5","10","0","0"
"브랜드검색_PC","마프라왁스","29","4","13.8","0","0"
"브랜드검색_PC","마프라패스트블랙","28","0","0","0","0"
"브랜드검색_PC","마프라휠앤타이어","567","36","6.35","0","0"
"브랜드검색_모바일","라보코스메티카","684","149","21.79","0","0"
"브랜드검색_모바일","마프라","5,510","1,561","28.34","0","0"
